lid,X3857,Y3857,kind,trigger,forest_type,slope,chm
2021_5,13432826.7164047,2702497.716184017,case,降雨,__NONFOREST__,8.647,1
2021_6,13446592.098285928,2672739.031841516,case,降雨,闊葉樹林型,37.625,11
2021_7,13437457.65874452,2676567.2786361966,case,降雨,竹闊混淆林,30.065,0
2021_8,13446934.83178669,2662281.2146593616,case,降雨,__NONFOREST__,39.492,0
2021_9,13455282.293639587,2642820.896770584,case,降雨,闊葉樹林型,25.893,13
2021_10,13455644.990129847,2643275.3229317134,case,降雨,__NONFOREST__,50.055,1
2021_11,13438307.956556195,2595963.6006646277,case,降雨,__NONFOREST__,39.524,0
2021_12,13437643.496465323,2677172.750102993,case,降雨,待成林地,30.443,0
2021_13,13435424.80500748,2612890.5230480507,case,降雨,闊葉樹林型,31.811,6
2021_14,13450002.571320085,2651975.83315264,case,降雨,闊葉樹林型,42.477,6
2021_15,13447091.258618573,2651191.616246436,case,降雨,闊葉樹林型,26.743,16
2021_16,13449702.22607399,2652763.50624722,case,降雨,__NONFOREST__,44.458,0
2021_17,13442620.964488866,2673729.2217588937,case,降雨,闊葉樹林型,46.786,16
2021_18,13443275.81604574,2676009.9255736,case,降雨,待成林地,68.615,3
2021_19,13444942.047145557,2685086.5044424697,case,降雨,闊葉樹林型,41.258,6
2021_20,13415646.083048165,2660521.732795786,case,降雨,闊葉樹林型,46.901,6
2021_21,13430612.570372632,2660180.530842689,case,降雨,竹闊混淆林,33.381,5
2021_22,13424239.675777888,2645424.1731828223,case,降雨,待成林地,31.106,0
2021_23,13437901.169225924,2646439.7791395118,case,降雨,闊葉樹林型,38.462,17
2021_24,13434369.08699442,2578651.0794070074,case,降雨,闊葉樹林型,33.522,0
2021_25,13439720.130354509,2574542.3075384004,case,降雨,闊葉樹林型,35.781,0
2021_26,13421112.720350796,2650129.6174509767,case,降雨,闊葉樹林型,32.223,11
2021_27,13432407.96676906,2651730.789412659,case,降雨,__NONFOREST__,17.548,21
2021_28,13511970.693326443,2844234.446700879,case,降雨,__NONFOREST__,50.42,0
2021_29,13476621.356451076,2818869.865993938,case,降雨,闊葉樹林型,43.856,18
2021_30,13480649.97878062,2817743.1832747147,case,降雨,闊葉樹林型,41.042,13
2021_31,13481950.15852498,2819615.292268324,case,降雨,__NONFOREST__,35.702,0
2021_32,13495879.164713684,2823997.400466931,case,降雨,闊葉樹林型,58.918,0
2021_33,13494556.593826355,2831815.2487659287,case,降雨,闊葉樹林型,55.641,22
2021_34,13499447.357162217,2840461.112797792,case,降雨,竹林,38.718,8
2021_35,13507209.711934278,2843857.1546073714,case,降雨,闊葉樹林型,56.044,5
2021_36,13537994.369249154,2869908.020640661,case,降雨,竹林,29.364,7
2021_37,13423477.33743102,2651254.673694494,case,降雨,闊葉樹林型,27.876,0
2021_38,13430748.54041146,2659117.289038457,case,降雨,闊葉樹林型,39.422,5
2021_39,13424818.563966494,2651276.7619539183,case,降雨,闊葉樹林型,43.927,1
2021_40,13430698.077923317,2658583.0387540963,case,降雨,待成林地,20.65,0
2021_41,13416606.175449315,2642848.8466931432,case,降雨,闊葉樹林型,32.89,6
2021_42,13406901.051624786,2661302.7498982907,case,降雨,__NONFOREST__,17.835,5
2021_43,13413168.40408374,2660498.5030887183,case,降雨,闊葉樹林型,41.234,9
2021_44,13413806.948411856,2660471.087740764,case,降雨,竹闊混淆林,36.033,14
2021_45,13411024.953166416,2659272.566925049,case,降雨,__NONFOREST__,36.273,13
2021_46,13416368.615004666,2663380.04676491,case,降雨,闊葉樹林型,50.06,9
2021_47,13412331.431912094,2659289.769350497,case,降雨,闊葉樹林型,36.424,7
2021_48,13444684.748908203,2568519.882424217,case,降雨,闊葉樹林型,34.876,9
2021_49,13443388.059654932,2570187.573500789,case,降雨,__NONFOREST__,26.583,1
2021_50,13443651.368067812,2571127.125634701,case,降雨,闊葉樹林型,37.27,0
2021_51,13443403.834002718,2569343.879873909,case,降雨,闊葉樹林型,38.132,2
2021_52,13443832.320858425,2570824.9591415217,case,降雨,闊葉樹林型,32.694,0
2021_53,13443731.978904998,2573004.0496802777,case,降雨,__NONFOREST__,37.368,2
2021_54,13445308.0652656,2572137.2810107283,case,降雨,__NONFOREST__,40.096,0
2021_55,13455847.08645205,2615386.9990797066,case,降雨,闊葉樹林型,47.407,0
2021_56,13453705.12943593,2594329.99755437,case,降雨,闊葉樹林型,38.73,13
2021_57,13445124.293237954,2758499.882037742,case,降雨,闊葉樹林型,32.919,5
2021_58,13483555.677858504,2790083.8394034305,case,降雨,闊葉樹林型,51.144,18
2021_59,13466308.242499558,2783719.016631201,case,降雨,闊葉樹林型,31.209,0
2021_60,13430560.73240376,2701471.803132912,case,降雨,__NONFOREST__,34.335,2
2021_61,13442003.020421946,2702264.7404623367,case,降雨,竹林,48.756,2
2021_62,13440472.557783274,2687518.4949784866,case,降雨,待成林地,30.488,2
2021_63,13437913.544516774,2686939.6008857726,case,降雨,__NONFOREST__,56.435,0
2021_64,13435522.954249758,2686880.0905809826,case,降雨,__NONFOREST__,27.42,0
2021_65,13435717.330489691,2686881.7001479613,case,降雨,__NONFOREST__,38.407,0
2021_66,13441887.964750506,2687965.191119788,case,降雨,__NONFOREST__,45.84,0
2021_67,13444980.170847092,2685091.241862154,case,降雨,闊葉樹林型,37.161,11
2021_68,13452679.1994561,2682104.6142710717,case,降雨,闊葉樹林型,44.472,0
2021_69,13452433.926257676,2682721.851254203,case,降雨,闊葉樹林型,40.096,5
2021_70,13441301.578680316,2688412.325039051,case,降雨,待成林地,31.853,0
2021_71,13432970.66204032,2673263.9233187754,case,降雨,待成林地,43.003,9
2021_72,13438055.35343253,2673975.899037231,case,降雨,待成林地,29.415,0
2021_73,13445654.712546922,2700572.226942133,case,降雨,闊葉樹林型,35.342,18
2021_74,13443393.530885652,2693963.7804056234,case,降雨,闊葉樹林型,38.526,0
2021_75,13444310.783639772,2694673.8134524324,case,降雨,__NONFOREST__,23.431,0
2021_76,13430396.661271026,2676779.163521471,case,降雨,竹林,44.191,2
2021_77,13430416.152625857,2676554.690559173,case,降雨,竹林,51.507,0
2021_78,13437710.269209731,2677255.268409218,case,降雨,闊葉樹林型,35.416,8
