lid,event,ft,slope,x,y,total,max24,max72,map_mm,annmax_mm
2021_9,彩雲颱風,闊葉樹林型,23.994436724543963,236770.01,2554176.89,227.61000061035156,175.52499389648438,227.35499572753906,2552.2109375,149.14236450195312
2021_13,彩雲颱風,闊葉樹林型,32.005383208083494,218438.12,2526791.19,212.45999145507812,160.364990234375,212.4550018310547,2884.879638671875,169.8948974609375
2021_14,彩雲颱風,闊葉樹林型,42.779253086391705,231921.33,2562556.98,245.0399932861328,188.0749969482422,244.39498901367188,2766.05029296875,162.231689453125
2021_15,彩雲颱風,闊葉樹林型,27.238572082130062,229242.61,2561843.24,221.64498901367188,162.96499633789062,221.64498901367188,2777.9365234375,169.5355224609375
2021_17,彩雲颱風,闊葉樹林型,46.25042447061119,225165.26,2582448.32,256.60498046875,171.97999572753906,254.87998962402344,2666.233154296875,166.17950439453125
2021_19,彩雲颱風,闊葉樹林型,41.19751028946612,227313.21,2592814.42,259.7749938964844,149.10499572753906,253.36000061035156,2806.211181640625,174.05606079101562
2021_20,0621豪雨,闊葉樹林型,47.90920660689003,200347.25,2570442.6,86.31999969482422,28.81999969482422,62.01499938964844,2360.792236328125,145.8151092529297
2021_23,0621豪雨,闊葉樹林型,38.13247816190013,220780.96,2557510.73,78.63499450683594,28.744998931884766,62.96999740600586,2472.412841796875,158.74024963378906
2021_24,0621豪雨,闊葉樹林型,33.10114358966526,217397.7,2495373.35,133.55499267578125,58.50499725341797,115.63499450683594,3732.37646484375,184.0919952392578
2021_25,0621豪雨,闊葉樹林型,35.41561005234765,222334.54,2491588.95,135.1649932861328,67.29999542236328,117.25,3466.78662109375,180.9872283935547
2021_26,0621豪雨,闊葉樹林型,31.160066779905723,205344.24,2560924.28,102.69999694824219,36.87999725341797,85.6199951171875,2261.533935546875,145.4299774169922
